id	claim	source_url	source_locator	status
06-gto-final	On 19 December 2025 ACM said energy-hub companies can apply for a group transport agreement to share capacity, while grid operators become obliged to offer the form from 1 January 2027.	https://www.acm.nl/nl/publicaties/acm-energiehubs-kunnen-groepstransportovereenkomst-aanvragen-bij-hun-netbeheerder	excerpts/06-gto-final.txt — “In het kort”; body; “Publicatie kenmerken”	checked-by:codex:2026-09-03
06-liander-route	Liander describes group-contract eligibility above 3x80 A, a formed hub, high-frequency metering and one electricity station; it says at least one member needs GTV and gives an average two-year lead time.	https://www.liander.nl/grootzakelijk/energietransitie/samenwerken/transportovereenkomst-voor-groepen	excerpts/06-liander-route.txt — “Bent u klaar voor een groepscontract?” and FAQ	checked-by:codex:2026-09-03
06-enexis-gto	Enexis says a GTO leaves individual connections in place, gives the group one transport contract, and needs an EMS to distribute capacity and remain within group capacity.	https://www.enexis.nl/zakelijk/netcapaciteit/flexibiliteitsoplossingen/groepstransportovereenkomst	excerpts/06-enexis-gto.txt — “Hoe werkt een groepstransportovereenkomst?”	checked-by:codex:2026-09-03
06-enexis-rollout	Enexis says it is working with ten business parks on GTO development and expects broader customer availability from 2027.	https://www.enexis.nl/zakelijk/netcapaciteit/flexibiliteitsoplossingen/groepstransportovereenkomst	excerpts/06-enexis-rollout.txt — introduction	checked-by:codex:2026-09-03
06-atr-date	In a decision announced on 19 July 2024, ACM said regional operators could offer time-block-bound transport contracts from 1 April 2025, while the transmission-network duration-bound form provides maximum transport use at least 85% of the time.	https://www.acm.nl/nl/publicaties/acm-stelt-maatregelen-tegen-netcongestie-vast-en-publiceert-uitgangspunten-voor-toekomstige-tariefaanpassingen	excerpts/06-atr-date.txt — “Maatregelen om flexibel gebruik te stimuleren”; “Publicatie kenmerken”	checked-by:codex:2026-09-03
06-contract-taxonomy	ACM's 2 June 2026 implementation dashboard distinguishes CBC, CSC, group CBC/CSC, TBTR, TDTR and fully non-firm VVTR contract forms.	https://www.acm.nl/nl/publicaties/voortgangsdashboard-bestuurlijke-afspraken-en-verbeterplannen-netbeheerders	excerpts/06-contract-taxonomy.txt — “Voortgangsdashboard”; “Publicatie kenmerken”	checked-by:codex:2026-09-03
06-cbc-compensation	ACM's 2 June 2026 dashboard defines a CBC as a large user voluntarily and temporarily reducing consumption or export when grid overload threatens, in exchange for compensation.	https://www.acm.nl/nl/publicaties/voortgangsdashboard-bestuurlijke-afspraken-en-verbeterplannen-netbeheerders	excerpts/06-cbc-compensation.txt — “Voortgangsdashboard”; “Publicatie kenmerken”	checked-by:codex:2026-09-03
06-enexis-atr-status	Enexis says Blokstroom applications for electricity consumption started on 1 April 2025, while fully variable Reststroom cannot yet be deployed because available capacity is insufficiently visible and further work is underway.	https://www.enexis.nl/zakelijk/netcapaciteit/transportcapaciteit/alternatieve-transportrechten	excerpts/06-enexis-atr-status.txt — “Hoe kunt u gebruikmaken van alternatieve transportrechten?”	checked-by:codex:2026-09-03
06-liander-cbc	Liander describes CBCs with or without call-up and redispatch in which a CSP bids customer flexibility on GOPACS; it defines GOPACS as a flexibility-trading platform and a CSP as the party acting there for the customer.	https://www.liander.nl/grootzakelijk/energietransitie/alles-over-netcongestie/keuzehulp-deelnemen-congestiemanagement	excerpts/06-liander-cbc.txt — “Wat zijn de mogelijkheden?”; “Biedplicht via GOPACS”	checked-by:codex:2026-09-03
06-stedin-hub	Stedin says a GTO group is jointly responsible for not exceeding capacity, needs an EMS, and can use its Netburenscan to identify companies on the same grid section.	https://www.stedin.net/zakelijk/energietransitie/beschikbare-netcapaciteit/flexoplossingen/energiehub/groepstransportovereenkomst	excerpts/06-stedin-hub.txt — “Hoe werkt een GTO?”; “Netburenscan”	checked-by:codex:2026-09-03
06-gto-sanctions	ACM's GTO code decision says each breach is reported to the group's representative; after two or more breaches the operator may suspend transport rights, and a further breach after remedial measures may ultimately cause the right to lapse.	https://www.officielebekendmakingen.nl/stcrt-2025-43262.pdf	excerpts/06-gto-sanctions.txt — PDF p. 5, Article 7.1h	checked-by:codex:2026-09-03
06-gto-liability	ACM's GTO code decision sets no civil-liability terms because ACM says it lacks power to regulate civil agreements between connected parties or groups and grid operators.	https://www.officielebekendmakingen.nl/stcrt-2025-43262.pdf	excerpts/06-gto-liability.txt — PDF p. 73, §4.13.1, paragraphs 290–293	checked-by:codex:2026-09-03
06-public-support	Rijksoverheid says €62 million is available for organisations blocked by a full grid and €166 million to stimulate energy hubs.	https://www.rijksoverheid.nl/themas/klimaat-milieu-en-natuur/duurzame-energie/kabinet-neemt-maatregelen-tegen-vol-elektriciteitsnet-netcongestie	excerpts/06-public-support.txt — “Geld voor advies en investeringen”; “Energiehubs”	checked-by:codex:2026-09-03
